date,PM2.5,O3,day_of_year
2014-01-01,38.541666666666664,43.708333333333336,1
2014-01-02,115.875,13.041666666666666,2
2014-01-03,35.729166666666664,45.875,3
2014-01-04,107.20833333333333,12.0,4
2014-01-05,63.083333333333336,26.791666666666668,5
2014-01-06,158.5625,3.7083333333333335,6
2014-01-07,89.0,31.416666666666668,7
2014-01-08,18.583333333333332,43.083333333333336,8
2014-01-09,28.375,31.083333333333332,9
2014-01-10,73.45833333333333,16.583333333333332,10
2014-01-11,90.29166666666667,12.125,11
2014-01-12,22.041666666666668,41.25,12
2014-01-13,67.91666666666667,14.5,13
2014-01-14,74.25,14.166666666666666,14
2014-01-15,135.95833333333334,9.5,15
2014-01-16,256.4583333333333,15.458333333333334,16
2014-01-17,126.70833333333333,19.833333333333332,17
2014-01-18,57.25,28.541666666666668,18
2014-01-19,112.625,19.958333333333332,19
2014-01-20,11.25,52.083333333333336,20
2014-01-21,35.5,35.25,21
2014-01-22,106.83333333333333,15.375,22
2014-01-23,202.20833333333334,6.729166666666667,23
2014-01-24,185.79166666666666,14.416666666666666,24
2014-01-25,18.791666666666668,50.5625,25
2014-01-26,60.333333333333336,22.958333333333332,26
2014-01-27,101.0625,28.5625,27
2014-01-28,45.458333333333336,46.375,28
2014-01-29,105.95833333333333,14.916666666666666,29
2014-01-30,62.75,50.416666666666664,30
2014-01-31,124.70833333333333,25.291666666666668,31
2014-02-01,142.58333333333334,11.458333333333334,32
2014-02-02,57.625,45.916666666666664,33
2014-02-03,7.375,73.04166666666667,34
2014-02-04,16.833333333333332,66.0,35
2014-02-05,77.75,32.416666666666664,36
2014-02-06,117.5,25.375,37
2014-02-07,105.16666666666667,24.791666666666668,38
2014-02-08,58.166666666666664,41.916666666666664,39
2014-02-09,12.166666666666666,55.916666666666664,40
2014-02-10,25.041666666666668,43.25,41
2014-02-11,77.1875,24.229166666666668,42
2014-02-12,104.20833333333333,23.666666666666668,43
2014-02-13,182.79166666666666,13.895833333333334,44
2014-02-14,234.125,21.791666666666668,45
2014-02-15,335.625,13.958333333333334,46
2014-02-16,266.2916666666667,32.083333333333336,47
2014-02-17,125.83333333333333,23.520833333333332,48
2014-02-18,76.33333333333333,20.770833333333332,49
2014-02-19,44.25,41.875,50
2014-02-20,171.875,9.916666666666666,51
2014-02-21,279.1666666666667,17.291666666666668,52
2014-02-22,270.2083333333333,6.958333333333333,53
2014-02-23,213.33333333333334,8.666666666666666,54
2014-02-24,250.625,16.270833333333332,55
2014-02-25,361.8125,10.145833333333334,56
2014-02-26,311.6041666666667,8.291666666666666,57
2014-02-27,18.708333333333332,8.291666666666666,58
2014-02-28,94.91666666666667,6.541666666666667,59
2014-03-01,59.875,7.708333333333333,60
2014-03-02,120.66666666666667,6.625,61
2014-03-03,230.625,4.0,62
2014-03-04,47.0,27.666666666666668,63
2014-03-05,15.708333333333334,51.083333333333336,64
2014-03-06,21.333333333333332,52.583333333333336,65
2014-03-07,34.083333333333336,39.25,66
2014-03-08,103.0,27.458333333333332,67
2014-03-09,94.5,38.916666666666664,68
2014-03-10,80.04166666666667,23.541666666666668,69
2014-03-11,140.625,10.333333333333334,70
2014-03-12,10.791666666666666,2.0416666666666665,71
2014-03-13,17.958333333333332,30.291666666666668,72
2014-03-14,25.291666666666668,50.0,73
2014-03-15,88.83333333333333,33.458333333333336,74
2014-03-16,83.08333333333333,44.25,75
2014-03-17,36.291666666666664,44.916666666666664,76
2014-03-18,34.5,66.29166666666667,77
2014-03-19,41.625,52.625,78
2014-03-20,10.041666666666666,67.125,79
2014-03-21,20.083333333333332,55.833333333333336,80
2014-03-22,31.416666666666668,60.791666666666664,81
2014-03-23,133.875,80.375,82
2014-03-24,217.54166666666666,69.625,83
2014-03-25,215.41666666666666,86.83333333333333,84
2014-03-26,245.91666666666666,78.08333333333333,85
2014-03-27,260.0416666666667,26.875,86
2014-03-28,107.83333333333333,44.333333333333336,87
2014-03-29,20.791666666666668,72.70833333333333,88
2014-03-30,23.208333333333332,60.541666666666664,89
2014-03-31,94.0,49.958333333333336,90
2014-04-01,94.66666666666667,74.83333333333333,91
2014-04-02,77.625,79.16666666666667,92
2014-04-03,23.208333333333332,63.041666666666664,93
2014-04-04,28.979166666666668,54.541666666666664,94
2014-04-05,14.791666666666666,84.04166666666667,95
2014-04-06,44.041666666666664,54.0,96
2014-04-07,118.04166666666667,80.08333333333333,97
2014-04-08,205.0625,91.79166666666667,98
2014-04-09,170.77083333333334,91.79166666666667,99
2014-04-10,117.70833333333333,53.291666666666664,100
2014-04-11,69.41666666666667,59.625,101
2014-04-12,99.75,81.25,102
2014-04-13,158.54166666666666,101.54166666666667,103
2014-04-14,228.04166666666666,121.16666666666667,104
2014-04-15,133.75,61.208333333333336,105
2014-04-16,94.875,35.5,106
2014-04-17,95.5,55.958333333333336,107
2014-04-18,163.33333333333334,65.29166666666667,108
2014-04-19,91.5,50.666666666666664,109
2014-04-20,59.416666666666664,54.5,110
2014-04-21,56.041666666666664,75.58333333333333,111
2014-04-22,53.041666666666664,91.70833333333333,112
2014-04-23,115.625,98.375,113
2014-04-24,121.16666666666667,91.875,114
2014-04-25,175.83333333333334,89.16666666666667,115
2014-04-26,115.69294871794871,63.43589743589744,116
2014-04-27,106.60000000000001,77.0,117
2014-04-28,92.56923076923077,58.53846153846154,118
2014-04-29,89.09615384615385,106.0673076923077,119
2014-04-30,104.08333333333333,130.20833333333334,120
2014-05-01,115.04166666666667,92.83333333333333,121
2014-05-02,20.166666666666668,80.95833333333333,122
2014-05-03,28.125,60.666666666666664,123
2014-05-04,22.458333333333332,75.41666666666667,124
2014-05-05,17.416666666666668,70.58333333333333,125
2014-05-06,66.125,67.58333333333333,126
2014-05-07,43.25,69.5,127
2014-05-08,52.625,96.79166666666667,128
2014-05-09,58.416666666666664,80.5,129
2014-05-10,47.041666666666664,74.83333333333333,130
2014-05-11,22.458333333333332,56.083333333333336,131
2014-05-12,30.458333333333332,65.33333333333333,132
2014-05-13,43.375,45.666666666666664,133
2014-05-14,15.916666666666666,61.875,134
2014-05-15,56.125,62.0,135
2014-05-16,37.375,95.45833333333333,136
2014-05-17,50.208333333333336,112.20833333333333,137
2014-05-18,67.04166666666667,150.16666666666666,138
2014-05-19,98.16666666666667,155.91666666666666,139
2014-05-20,54.333333333333336,115.125,140
2014-05-21,110.80833333333334,148.8375,141
2014-05-22,139.63333333333333,144.22083333333333,142
2014-05-23,79.41666666666667,127.875,143
2014-05-24,65.79166666666667,62.625,144
2014-05-25,58.916666666666664,62.458333333333336,145
2014-05-26,18.125,77.625,146
2014-05-27,31.541666666666668,81.70833333333333,147
2014-05-28,25.333333333333332,104.125,148
2014-05-29,26.333333333333332,104.375,149
2014-05-30,72.41666666666667,185.125,150
2014-05-31,97.875,177.58333333333334,151
2014-06-01,36.916666666666664,127.45833333333333,152
2014-06-02,23.25,99.125,153
2014-06-03,30.291666666666668,129.70833333333334,154
2014-06-04,54.166666666666664,123.45833333333333,155
2014-06-05,50.645833333333336,144.75,156
2014-06-06,48.791666666666664,69.375,157
2014-06-07,7.333333333333333,79.04166666666667,158
2014-06-08,15.583333333333334,67.33333333333333,159
2014-06-09,21.041666666666668,70.875,160
2014-06-10,57.166666666666664,92.75,161
2014-06-11,40.041666666666664,87.0,162
2014-06-12,17.75,111.04166666666667,163
2014-06-13,33.0,124.83333333333333,164
